"actor","actorid","quality_class","is_active","start_date","end_date","current_year"
"Leonardo DiCaprio","nm0000138","average",True,1995,1996,1996
"Olympia Dukakis","nm0001156","average",False,1975,1978,1978
"John Carradine","nm0001017","bad",True,1973,1975,1975
"Melanie Griffith","nm0000429","bad",True,1973,1973,1973
"Sarah Michelle Gellar","nm0001264","bad",False,1990,1996,1996
"Kate Winslet","nm0000701","good",True,2008,2008,2008
"R. Lee Ermey","nm0000388","average",True,1989,1989,1989
"Jeremy Irons","nm0000460","bad",True,1983,1983,1983
"Scott Bakula","nm0000836","average",True,1991,1991,1991
"Jean-Luc Godard","nm0000419","average",False,1988,1992,1992
"Matt LeBlanc","nm0001455","bad",False,1997,1997,1997
"Joan Allen","nm0000260","average",False,1994,1994,1994
"Joan Collins","nm0001058","bad",True,2020,2020,2020
"Michael Bay","nm0000881","bad",False,2015,2018,2018
"Estelle Getty","nm0001268","bad",True,1992,1992,1992
"Noah Baumbach","nm0000876","average",False,1996,1996,1996
"Charlotte Gainsbourg","nm0001250","bad",True,1992,1992,1992
"Brian Dennehy","nm0001133","average",False,2003,2003,2003
"Maria Conchita Alonso","nm0000744","average",True,1990,1990,1990
"Ray Liotta","nm0000501","bad",True,1983,1983,1983
"Abel Ferrara","nm0001206","average",False,1982,2008,2008
"Peter Berg","nm0000916","bad",True,2001,2001,2001
"Kelly McGillis","nm0000534","average",True,2013,2013,2013
"Kurt Russell","nm0000621","good",True,2015,2016,2016
"Thora Birch","nm0000301","bad",False,2013,2017,2017
"Carol Kane","nm0001406","average",True,1971,1972,1972
"Brian Dennehy","nm0001133","average",False,1981,1981,1981
"Jim Belushi","nm0000902","bad",True,2011,2013,2013
"Christopher Lee","nm0000489","average",True,1974,1974,1974
"Sissy Spacek","nm0000651","average",False,1998,1998,1998
"Shirley MacLaine","nm0000511","bad",False,1973,1976,1976
"Elisabeth Shue","nm0000223","average",False,1992,1992,1992
"Jeff Goldblum","nm0000156","average",True,1997,1997,1997
"Robert Forster","nm0001233","bad",True,1988,1993,1993
"Emma Thompson","nm0000668","average",True,2005,2005,2005
"Tom Cruise","nm0000129","good",True,1996,1996,1996
"Kevin Bacon","nm0000102","bad",True,2020,2020,2020
"Dan Hedaya","nm0000445","bad",False,2011,2011,2011
"Roman Polanski","nm0000591","bad",True,1992,1992,1992
"Peter Jackson","nm0001392","good",False,1993,1993,1993
"Robert Duvall","nm0000380","bad",True,2002,2002,2002
"Kyle MacLachlan","nm0001492","good",True,1991,1991,1991
"Marianne Jean-Baptiste","nm0001399","bad",True,2006,2006,2006
