"actor","actorid","quality_class","is_active","start_date","end_date","current_year"
"Armand Assante","nm0000800","bad",True,1984,1984,1984
"Helen Slater","nm0000644","bad",True,1988,1989,1989
"Crispin Glover","nm0000417","average",True,2007,2007,2007
"Steven Bauer","nm0000874","average",False,1987,1987,1987
"Martha Plimpton","nm0000588","bad",True,2017,2017,2017
"Bess Armstrong","nm0000787","bad",True,1993,1993,1993
"Billy Bob Thornton","nm0000671","good",True,2014,2014,2014
"Julie Andrews","nm0000267","bad",False,1984,1985,1985
"Rosalind Chao","nm0001034","average",True,2003,2003,2003
"Ann-Margret","nm0000268","average",False,1996,1998,1998
"Swoosie Kurtz","nm0001436","good",True,1977,1977,1977
"Stephen Fry","nm0000410","average",True,2016,2016,2016
"Barbara Bain","nm0000828","average",False,2003,2008,2008
"Jane Fonda","nm0000404","bad",True,1986,1987,1987
"Bud Cort","nm0001069","bad",True,1980,1980,1980
"Nana Visitor","nm0000684","bad",False,2007,2007,2007
"Chow Yun-Fat","nm0000334","bad",True,2009,2009,2009
"Mel Gibson","nm0000154","bad",True,1980,1980,1980
"Clint Eastwood","nm0000142","average",True,1972,1972,1972
"Gary Busey","nm0000997","good",True,1987,1987,1987
"Ron Howard","nm0000165","average",True,1974,1974,1974
"Jane Birkin","nm0000945","good",True,1982,1982,1982
"Dabney Coleman","nm0001056","bad",True,2005,2005,2005
"James Cromwell","nm0000342","good",True,2014,2014,2014
"Irene Jacob","nm0001393","average",True,1995,2000,2000
"Virginie Ledoyen","nm0001461","bad",True,2017,2017,2017
"Steven Berkoff","nm0000925","average",False,1982,1982,1982
"Jim Carrey","nm0000120","bad",False,2012,2012,2012
"Ben Chaplin","nm0001035","average",True,2001,2001,2001
"Brandon Lee","nm0000488","good",True,1994,1994,1994
"John Landis","nm0000484","average",False,1986,1989,1989
"Willem Dafoe","nm0000353","star",True,1986,1986,1986
"Jeff Bridges","nm0000313","bad",False,1977,1977,1977
"Jane Birkin","nm0000945","bad",True,1983,1985,1985
"Kate Mulgrew","nm0000550","average",True,1987,1987,1987
"Bai Ling","nm0000499","bad",True,2010,2011,2011
"Sean Connery","nm0000125","bad",True,2012,2012,2012
"Paul Lynde","nm0001489","good",False,1976,1977,1977
"John Lithgow","nm0001475","average",False,1973,1975,1975
"Helen Hunt","nm0000166","bad",False,2015,2016,2016
"Robert Redford","nm0000602","good",True,1984,1985,1985
"Anthony Michael Hall","nm0001309","bad",True,2017,2017,2017
"Natalie Portman","nm0000204","bad",True,2005,2005,2005
"Dyan Cannon","nm0001007","good",True,1973,1973,1973
"Yaphet Kotto","nm0001433","good",True,1978,1978,1978
"Isabella Rossellini","nm0000618","average",True,2015,2015,2015
"Pamela Anderson","nm0000097","bad",False,2004,2007,2007
"Jessica Lange","nm0001448","good",True,1999,1999,1999
"Alan Parker","nm0000570","good",True,2003,2003,2003
"Cuba Gooding Jr.","nm0000421","average",True,1989,1989,1989
"Chevy Chase","nm0000331","average",True,2002,2002,2002
"Graham Chapman","nm0001037","bad",False,1984,2011,2011
"Richard Gere","nm0000152","average",True,1975,1977,1977
"Scott Baio","nm0000281","bad",True,1982,1982,1982
"Jane Badler","nm0000826","bad",True,2019,2019,2019
"Colin Firth","nm0000147","average",True,1992,1993,1993
"Greta Scacchi","nm0000627","average",True,1996,1996,1996
"R. Lee Ermey","nm0000388","bad",False,2007,2007,2007
"Lisa Kudrow","nm0001435","bad",True,1991,1992,1992
"Jason Beghe","nm0000892","good",False,1992,1993,1993
"Lee Marvin","nm0001511","bad",True,1984,1984,1984
"Vince Vaughn","nm0000681","average",True,2018,2018,2018
"Stephen Fry","nm0000410","average",False,2017,2017,2017
"Hulk Hogan","nm0001356","bad",True,1996,1996,1996
"Scott Glenn","nm0001277","bad",False,1994,1994,1994
"Heather Langenkamp","nm0000486","good",True,1983,1984,1984
"Eddie Murphy","nm0000552","good",True,1988,1988,1988
"Rupert Everett","nm0000391","good",True,1998,1998,1998
"Michael Keaton","nm0000474","average",True,2019,2019,2019
"Brendan Fraser","nm0000409","good",True,1991,1991,1991
"Mel Gibson","nm0000154","average",True,2016,2016,2016
"Bryan Brown","nm0000986","bad",False,1993,1995,1995
"Shelley Duvall","nm0001167","average",True,1987,1987,1987
"Kathleen Quinlan","nm0000599","bad",True,2008,2008,2008
"Skeet Ulrich","nm0000240","bad",True,2001,2001,2001
"Stephen Dorff","nm0001151","good",True,2007,2008,2008
"David Strathairn","nm0000657","good",True,2020,2020,2020
"Mark Hamill","nm0000434","bad",True,1997,2000,2000
"Fred Savage","nm0000625","bad",False,2005,2017,2017
"William Fichtner","nm0001209","good",False,2003,2003,2003
"Raymond Burr","nm0000994","bad",False,1981,1981,1981
"Carol Kane","nm0001406","good",True,1979,1979,1979
"Cher","nm0000333","average",False,2000,2002,2002
"Penny Marshall","nm0001508","average",False,1992,1992,1992
"Robin Williams","nm0000245","bad",False,2012,2012,2012
"Marty Feldman","nm0001204","average",True,1975,1975,1975
"Virginia Madsen","nm0000515","bad",True,2007,2011,2011
"Jeff Goldblum","nm0000156","average",True,2018,2018,2018
"Alec Guinness","nm0000027","average",True,1995,1995,1995
"Daryl Hannah","nm0000435","bad",True,2006,2009,2009
