"actor","actorid","films","quality_class","is_active","current_year"
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)""}","good",False,1975
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)""}","good",True,1976
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)""}","good",False,1977
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)""}","good",False,1978
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)""}","good",False,1979
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)""}","bad",True,1980
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)""}","bad",True,1981
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)""}","bad",False,1982
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)""}","bad",False,1983
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)""}","bad",False,1984
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)""}","bad",False,1985
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)""}","bad",False,1986
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)""}","bad",False,1987
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)""}","average",True,1988
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)""}","bad",True,1989
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)""}","good",True,1990
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)"",""(\""A Star for Two\"",227,5.5,tt0166817)"",""(\""All I Want for Christmas\"",4564,6,tt0101301)""}","bad",True,1991
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)"",""(\""A Star for Two\"",227,5.5,tt0166817)"",""(\""All I Want for Christmas\"",4564,6,tt0101301)""}","bad",False,1992
"Brigitte Bardot","nm0000003","{""(\""Les novices\"",219,5.1,tt0066164)"",""(\""The Bear and the Doll\"",431,6.4,tt0064779)"",""(\""Frenchie King\"",1054,5.3,tt0067637)"",""(\""Rum Runners\"",469,5.6,tt0066857)"",""(\""The Edifying and Joyous Story of Colinot\"",122,4.3,tt0069899)"",""(\""Don Juan (Or If Don Juan Were a Woman)\"",894,5.1,tt0069990)""}","bad",False,1976
"Ingmar Bergman","nm0000005","{""(\""Cries & Whispers\"",30691,8.1,tt0069467)""}","star",False,1989
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)"",""(\""A Star for Two\"",227,5.5,tt0166817)"",""(\""All I Want for Christmas\"",4564,6,tt0101301)""}","bad",False,1993
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)"",""(\""A Star for Two\"",227,5.5,tt0166817)"",""(\""All I Want for Christmas\"",4564,6,tt0101301)"",""(\""Ready to Wear\"",14444,5.2,tt0110907)""}","bad",True,1994
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)"",""(\""A Star for Two\"",227,5.5,tt0166817)"",""(\""All I Want for Christmas\"",4564,6,tt0101301)"",""(\""Ready to Wear\"",14444,5.2,tt0110907)""}","bad",False,1995
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)"",""(\""A Star for Two\"",227,5.5,tt0166817)"",""(\""All I Want for Christmas\"",4564,6,tt0101301)"",""(\""Ready to Wear\"",14444,5.2,tt0110907)"",""(\""The Mirror Has Two Faces\"",16564,6.7,tt0117057)"",""(\""My Fellow Americans\"",14178,6.5,tt0117119)""}","average",True,1996
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)"",""(\""A Star for Two\"",227,5.5,tt0166817)"",""(\""All I Want for Christmas\"",4564,6,tt0101301)"",""(\""Ready to Wear\"",14444,5.2,tt0110907)"",""(\""The Mirror Has Two Faces\"",16564,6.7,tt0117057)"",""(\""My Fellow Americans\"",14178,6.5,tt0117119)"",""(\""Le jour et la nuit\"",1014,1.6,tt0119418)""}","bad",True,1997
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)"",""(\""The Shootist\"",22409,7.6,tt0075213)"",""(HealtH,693,5.7,tt0079256)"",""(\""The Fan\"",2038,5.8,tt0082362)"",""(\""Mr. North\"",1297,5.9,tt0095665)"",""(\""Appointment with Death\"",4058,6.2,tt0094669)"",""(\""Innocent Victim\"",103,5.9,tt0099846)"",""(Misery,186886,7.8,tt0100157)"",""(\""A Star for Two\"",227,5.5,tt0166817)"",""(\""All I Want for Christmas\"",4564,6,tt0101301)"",""(\""Ready to Wear\"",14444,5.2,tt0110907)"",""(\""The Mirror Has Two Faces\"",16564,6.7,tt0117057)"",""(\""My Fellow Americans\"",14178,6.5,tt0117119)"",""(\""Le jour et la nuit\"",1014,1.6,tt0119418)""}","bad",False,1998
